LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital,Prompt
NuExtract:4B,7.0,43.0,6.0,11.0,45.83333333333333,20.37037037037037,28.205128205128208,18.333333333333332,huggingface,hospital1,
NuExtract:4B,1.0,37.0,6.0,17.0,70.83333333333334,31.48148148148148,43.58974358974359,28.333333333333332,huggingface,hospital2,
GliNER,14.334548784548783,58.33454878454879,0.0,1.665451215451215,10.409070096570094,2.775752025752025,4.382766356450566,2.775752025752025,gliner,hospital1,
GliNER,13.896772622092316,55.896772622092314,0.0,4.103227377907684,22.79570765504269,6.838712296512807,10.521095840788934,6.838712296512807,gliner,hospital2,
llama3.170b,7.0,13.0,1.0,46.0,85.18518518518519,77.96610169491525,81.41592920353983,76.66666666666667,ollama,hospital1,Normal
gemma327b,30.0,32.0,4.0,24.0,41.37931034482759,42.857142857142854,42.10526315789473,40.0,ollama,hospital1,Normal
mistral(24b),10.0,7.0,3.0,50.0,79.36507936507937,87.71929824561403,83.33333333333333,83.33333333333334,ollama,hospital1,Normal
gemma327b,8.0,43.0,3.0,14.0,56.00000000000001,24.561403508771928,34.146341463414636,23.333333333333332,ollama,hospital2,Normal
mistral(24b),1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,Normal
llama3.170b,5.0,12.0,2.0,46.0,86.79245283018868,79.3103448275862,82.88288288288288,76.66666666666667,ollama,hospital2,Normal
llama3.170b,7.0,13.0,1.0,46.0,85.18518518518519,77.96610169491525,81.41592920353983,76.66666666666667,ollama,hospital1,LTNER/GPT-NER
gemma327b,30.0,32.0,4.0,24.0,41.37931034482759,42.857142857142854,42.10526315789473,40.0,ollama,hospital1,LTNER/GPT-NER
mistral(24b),10.0,7.0,3.0,50.0,79.36507936507937,87.71929824561403,83.33333333333333,83.33333333333334,ollama,hospital1,LTNER/GPT-NER
gemma327b,8.0,43.0,3.0,14.0,56.00000000000001,24.561403508771928,34.146341463414636,23.333333333333332,ollama,hospital2,LTNER/GPT-NER
mistral(24b),1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,ollama,hospital2,LTNER/GPT-NER
llama3.170b,5.0,12.0,2.0,46.0,86.79245283018868,79.3103448275862,82.88288288288288,76.66666666666667,ollama,hospital2,LTNER/GPT-NER
gemma327b*ImageInput*,3.0,5.0,3.0,52.0,89.65517241379311,91.2280701754386,90.43478260869564,86.66666666666667,ollama_vision,hospital1,Normal
mistral(24b)*ImageInput*,5.0,43.0,9.0,8.0,36.36363636363637,15.68627450980392,21.917808219178085,13.333333333333334,ollama_vision,hospital1,Normal
gemma327b*ImageInput*,2.0,11.0,6.0,43.0,84.31372549019608,79.62962962962963,81.90476190476191,71.66666666666667,ollama_vision,hospital2,Normal
mistral(24b)*ImageInput*,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,Normal
gemma327b*ImageInput*,17.0,43.0,14.0,3.0,8.823529411764707,6.521739130434782,7.5,5.0,ollama_vision,hospital1,LTNER/GPT-NER
mistral(24b)*ImageInput*,2.0,48.0,4.0,8.0,57.14285714285714,14.285714285714285,22.857142857142858,13.333333333333334,ollama_vision,hospital1,LTNER/GPT-NER
gemma327b*ImageInput*,1.0,47.0,10.0,3.0,21.428571428571427,6.0,9.375,5.0,ollama_vision,hospital2,LTNER/GPT-NER
mistral(24b)*ImageInput*,0.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,ollama_vision,hospital2,LTNER/GPT-NER
